Y.pred,var,beta
DNAmGDF15,Intercept,1975.79838006581
DNAmGDF15,Age,9.35135715658526
DNAmGDF15,cg21789941,84.3645750465184
DNAmGDF15,cg22866430,143.696062204127
DNAmGDF15,cg18234973,81.3786460649786
DNAmGDF15,cg26110733,29.0401030316876
DNAmGDF15,cg10636246,-112.494472672218
DNAmGDF15,cg10578779,11.2437269666517
DNAmGDF15,cg17591574,-118.383551456933
DNAmGDF15,cg13371627,-1980.76073282933
DNAmGDF15,cg12458003,12.0904830352921
DNAmGDF15,cg13180152,381.682916735963
DNAmGDF15,cg21459583,20.0942867265565
DNAmGDF15,cg18278247,79.3322750553387
DNAmGDF15,cg06022832,93.1665736413238
DNAmGDF15,cg21566642,-42.0489561410823
DNAmGDF15,cg01940273,-56.211282914049
DNAmGDF15,cg08110610,50.3369663547314
DNAmGDF15,cg00684178,-4.69052672804204
DNAmGDF15,cg27380813,23.8657733896865
DNAmGDF15,cg03827386,110.179737501481
DNAmGDF15,cg15849439,-504.006706772283
DNAmGDF15,cg06349851,454.892435713384
DNAmGDF15,cg25598319,3.9399225957086
DNAmGDF15,cg25845889,10.757634693789
DNAmGDF15,cg15228492,-21.759385281921
DNAmGDF15,cg03900798,191.662225661768
DNAmGDF15,cg20576510,342.773200296282
DNAmGDF15,cg12988996,-183.743925450784
DNAmGDF15,cg11569478,297.911005028156
DNAmGDF15,cg01603456,50.0320246681574
DNAmGDF15,cg18584747,996.863506695649
DNAmGDF15,cg17543884,56.404864825894
DNAmGDF15,cg22090064,434.91431973695
DNAmGDF15,cg11923914,373.352080586456
DNAmGDF15,cg18394552,5.96777355659719
DNAmGDF15,cg24801535,-1103.92861237746
DNAmGDF15,cg12325588,-243.41708457698
DNAmGDF15,cg23367341,-56.3635909479529
DNAmGDF15,cg04987004,60.4625597660618
DNAmGDF15,cg24859433,-259.250962499085
DNAmGDF15,cg10940833,-10.6254683766318
DNAmGDF15,cg11539695,31.4272225415853
DNAmGDF15,cg26987613,-39.1513928553244
DNAmGDF15,cg17598713,799.11876321041
DNAmGDF15,cg26433444,153.840896093951
DNAmGDF15,cg25325512,-17.8471627194383
DNAmGDF15,cg02272457,531.529489703616
