CpGmarker,mean
"cg00112187",0.849967844873089
"cg00151250",0.789761089387928
"cg00359421",0.971759760950415
"cg00513564",0.848013810480442
"cg00532802",0.24755939058262
"cg00574958",0.109720757556928
"cg00668559",0.189885225723997
"cg00782811",0.390931384334635
"cg00835193",0.916868805614849
"cg01055871",0.270839720216268
"cg01101459",0.873669632584113
"cg01360413",0.514724884036196
"cg01554316",0.961947996611195
"cg01936220",0.257587764118704
"cg02004723",0.943258827673233
"cg02079413",0.898919104304148
"cg02229095",0.580889869871979
"cg02300147",0.124269399608851
"cg02307277",0.893220721124433
"cg02571857",0.66382289042633
"cg02650017",0.0983089449480431
"cg02949067",0.864031649749433
"cg02997983",0.0853590231520664
"cg03604011",0.0794250072127431
"cg03776935",0.747302492844339
"cg03810769",0.873726398961114
"cg03868770",0.753421603351124
"cg04051458",0.0903444908651197
"cg04105250",0.109486844368016
"cg04305539",0.661168313778371
"cg04565261",0.0796398898302227
"cg04600984",0.871619852849519
"cg04624885",0.801341738482886
"cg04927537",0.623305022243141
"cg05068951",0.579194368129887
"cg05085844",0.872168067630087
"cg05239308",0.125451269974506
"cg05304729",0.360445837166271
"cg05487507",0.866147971758004
"cg05492170",0.324440164575253
"cg05671350",0.304030851599377
"cg05991820",0.679481300410399
"cg06182811",0.914536462579493
"cg06230206",0.526128716437822
"cg06458557",0.928512471378298
"cg06500161",0.711678124533059
"cg06570125",0.905565627720911
"cg06797880",0.567513102142303
"cg06961233",0.492287510669415
"cg07019072",0.825217191603075
"cg07075169",0.284358818737908
"cg07123481",0.891574829243682
"cg07244253",0.155088626923293
"cg07471256",0.844064956822891
"cg07550819",0.870913456421932
"cg07589381",0.796260160836525
"cg08011245",0.931866900643186
"cg08225398",0.0456319932854365
"cg08335662",0.619410610658305
"cg08790676",0.113958127878278
"cg09022325",0.91101896495448
"cg09233395",0.253192935413229
"cg09349128",0.381692365893909
"cg09423875",0.841701293810622
"cg09626521",0.262455790613706
"cg09756865",0.0962100374299085
"cg09760057",0.881927557899027
"cg09867945",0.77810267318825
"cg09933458",0.255817720505054
"cg09974965",0.716493834201531
"cg10017843",0.265489524202856
"cg10026495",0.902614784384301
"cg10053507",0.689635742183595
"cg10365246",0.845544221278621
"cg10919522",0.310338637169978
"cg11095122",0.780158320307009
"cg11103390",0.352683412873393
"cg11202345",0.283579080196421
"cg11452501",0.760543648317095
"cg11787522",0.457903378624443
"cg11835347",0.448043630043556
"cg12041401",0.45821414979963
"cg12446629",0.405836518615715
"cg12547807",0.404844379373298
"cg12820481",0.333377076113438
"cg13274938",0.831852284976097
"cg13300580",0.585439269208453
"cg13548189",0.910413455720982
"cg13586425",0.800554630388599
"cg13614083",0.909283380578055
"cg13702222",0.428667487114492
"cg13945148",0.716513105678302
"cg14110709",0.780281008849016
"cg14200569",0.138185920751475
"cg14702960",0.879686643509846
"cg14816825",0.847352220715641
"cg14851284",0.848670338374166
"cg14876603",0.699388441092899
"cg14893274",0.686667249843788
"cg15192750",0.0529268924056151
"cg15815084",0.719047104426581
"cg15829969",0.727565612951352
"cg15919431",0.265691167762909
"cg15948836",0.37961864861997
"cg16098955",0.876602900549682
"cg16413763",0.761869248299078
"cg16416715",0.21803623153813
"cg16609260",0.207186965461771
"cg16739178",0.736058949260965
"cg16924010",0.182424025595499
"cg16969872",0.798558881885268
"cg17018786",0.62751951343083
"cg17061862",0.7621871185762
"cg17439800",0.368765824504438
"cg17460386",0.426052367795468
"cg17501210",0.849624078997935
"cg17749946",0.920347052636868
"cg17765387",0.792497920710113
"cg17804112",0.593019638570286
"cg17841545",0.902323517644622
"cg17901584",0.59288474015239
"cg17966227",0.882629529193046
"cg18181703",0.601101187674865
"cg18500368",0.217639616604989
"cg18513344",0.33040590850291
"cg18519757",0.619735244203258
"cg20025658",0.167439655261191
"cg20964064",0.566615780965541
"cg21355338",0.925067015727329
"cg21439498",0.0965730887039017
"cg21486834",0.861850591411299
"cg21566642",0.644559900005802
"cg21787176",0.750253749453612
"cg21885107",0.262923834420315
"cg22029879",0.85580309984715
"cg22036538",0.427339841402367
"cg22157099",0.687734036787176
"cg22367678",0.199207925154001
"cg22488164",0.825701067768694
"cg22891595",0.76801173836445
"cg22912834",0.39984783769223
"cg23119487",0.66258617052896
"cg23152235",0.122218202170249
"cg23798387",0.140036708963548
"cg23966795",0.910342310209885
"cg23997508",0.801625357392655
"cg24125710",0.588683090686055
"cg24174557",0.317202815112454
"cg24268161",0.506772440594297
"cg24318091",0.169692951560717
"cg24352561",0.835327002058252
"cg24396875",0.842490277979488
"cg24403644",0.876725353027226
"cg24531955",0.271770127143619
"cg24737193",0.899414387372825
"cg24865132",0.1953157429759
"cg24891125",0.926889986610898
"cg25243766",0.526429686138848
"cg25368647",0.689669119667681
"cg25427524",0.701860964565934
"cg25683495",0.858030553690576
"cg25751054",0.715307676926093
"cg25772418",0.845741854560151
"cg25923729",0.639013222678309
"cg26094651",0.745542564384289
"cg26180383",0.704763187213755
"cg26264318",0.183777752461086
"cg26275850",0.948316763717604
"cg26470501",0.660695202242804
"cg26497348",0.300514443110564
"cg26981978",0.680728377229957
"cg27113548",0.7383499387998
"cg27165794",0.11720565445168
"cg21879513",0.170487709620719
"cg04945457",0.06132909798867
"cg20840174",0.637638480130702
"cg01429449",0.232126210768046
"cg02332525",0.265637626543572
"cg15284635",0.589335465895328
"cg18456459",0.207844641039738
"cg04224064",0.317348679499738
"cg19722698",0.502476596265023
"cg21744417",0.937484719392819
"cg01093138",0.697486294885301
"cg09644356",0.882134517346972
"cg15234271",0.172274409331184
"cg27042294",0.926623216490725
"cg20595846",0.525947115732013
"cg26688911",0.621547415998086
"cg27413008",0.170665503932156
"cg25575145",0.932778224655294
"cg17425590",0.563695771089395
"cg07010222",0.910179440149994
"cg00254470",0.752082790023876
"cg26722733",0.780591775339314
"cg25246246",0.600416148941619
"cg03983213",0.0599270778458927
"cg27081346",0.102362361171083
"cg05950877",0.0911730059156813
"cg07487731",0.34633976210983
"cg27055365",0.825199734762781
"cg11101926",0.401791271457675
"cg08207466",0.48698241694675
"cg00832329",0.527044261149459
"cg13997124",0.0728776197502238
"cg20768743",0.681333845221848
"cg17335657",0.966810892294792
"cg08802841",0.522965958359477
"cg25586848",0.140012588070014
"cg15151492",0.869586872128034
"cg14343733",0.894585646954598
"cg18771955",0.85171506764178
"cg21186098",0.359436797759322
"cg07349094",0.116918803338335
"cg20864568",0.325639705690348
"cg00392196",0.731479455492139
"cg08436089",0.948426468196286
"cg04132540",0.223425797267244
"cg25330029",0.900438216730332
"cg14951955",0.776570991496183
"cg12560020",0.650479829636931
"cg16145216",0.429413606974516
"cg18245281",0.386199572526188
"cg20891771",0.402538205809955
"cg12220376",0.85166808513253
"cg20319698",0.831329502871071
"cg15651907",0.869081929834372
"cg27231068",0.779158055470989
"cg20192387",0.684000102597219
"cg15060012",0.221188493435757
"cg13689996",0.841981848003443
"cg09007290",0.923097895344366
"cg07926502",0.906849604938359
"cg04175111",0.543479155342084
"cg03713997",0.225646011489516
"cg02301079",0.341653043232181
"cg16733136",0.871520382152529
"cg07318627",0.739086905494565
"cg03105348",0.548835588032938
"cg12497543",0.366529098217654
"cg27150412",0.729554785577173
"cg21199922",0.378002167300177
"cg08813325",0.43783891029641
"cg06362543",0.559416479866989
"cg10096215",0.144801545799486
"cg03119748",0.852476571475907
"cg18457731",0.833716145243017
"cg24879087",0.413105246666472
"cg27364650",0.470670964105616
"cg23731146",0.840597329718253
"cg26750617",0.653675194912765
"cg01198024",0.715496215455763
"cg27513339",0.671735156575202
"cg21571160",0.862681150682141
"cg17679621",0.456153568027109
"cg11828621",0.353001925949752
"cg26087117",0.156960538392117
"cg15636519",0.156809777244583
"cg16816400",0.561813612217892
"cg10977795",0.176107118503942
"cg17946038",0.943198920720869
"cg27105123",0.795689681440993
"cg16014085",0.623747815317214
"cg15875607",0.89067174046609
"cg18449739",0.862571020758825
"cg01765653",0.75271915238611
"cg04546097",0.87242936825109
"cg21033440",0.948558270470836
"cg19360937",0.675860352223742
"cg07655487",0.403836957912081
"cg03306082",0.295109570211257
"cg15177211",0.536307209135536
"cg27637706",0.878608750771027
"cg22683036",0.404646864606653
"cg24772240",0.256314027403613
"cg06951477",0.141010183339726
"cg18268041",0.430375181149862
"cg24396074",0.961464612478363
"cg05765371",0.0268717818877111
"cg27531336",0.457072259703687
"cg19013399",0.197461870922885
"cg09318169",0.457818825429711
"cg15080430",0.0486525048907553
"cg03174043",0.872692002593805
"cg10727673",0.544679071916522
"cg13023677",0.278687306924282
"cg17380238",0.227095132867166
"cg25641533",0.906827774067938
"cg09983885",0.419979123480767
"cg04071866",0.745444184976536
"cg02027878",0.468051821670473
"cg25807487",0.943503404010329
"cg07923390",0.896100933049887
"cg20107506",0.569981993075146
"cg11347411",0.0736808946767444
"cg09488203",0.216016627845749
"cg10205310",0.8909469604593
"cg25416319",0.488036060137416
"cg18692149",0.0444980942618804
"cg23983435",0.237791525918784
"cg25513379",0.871353798033841
"cg11526630",0.744417766472346
"cg04435719",0.0909939173425988
"cg00322698",0.962756213031212
"cg24953596",0.698445675758748
"cg13369622",0.833454558181131
"cg24014869",0.71067734757927
"cg26257676",0.89726884509396
"cg01499522",0.628022019003381
"cg19725903",0.253317369310902
"cg05183966",0.78913070863852
"cg21188652",0.657894636037562
"cg22515589",0.840587779695811
"cg07604732",0.767549103619224
"cg27628370",0.958667435199424
"cg11203616",0.435479862819422
"cg06853416",0.803078848638392
"cg24219985",0.834508777780758
"cg04884090",0.656967179684306
"cg19306847",0.572808443465755
"cg08737543",0.937389328664954
"cg23356309",0.845080803756642
"cg11333968",0.75800104042688
"cg21050234",0.275984937989508
"cg13839957",0.728558711496835
"cg00733328",0.3834955837751
"cg13320964",0.806403351817971
"cg18634506",0.203694878734022
"cg21015266",0.638515523515232
"cg08179353",0.806498689516729
"cg06346081",0.308369690311458
"cg11738976",0.392424539156759
"cg20222562",0.50489980837732
"cg17972100",0.687725741297486
"cg25129541",0.47693861004115
"cg01414268",0.187535518501147
"cg18016288",0.825422180523536
"cg02398342",0.743953045802562
"cg15835339",0.615236212806982
"cg02513556",0.808426934985396
"cg12177113",0.844004401043626
"cg12905654",0.871067943335739
"cg11410718",0.493949983778037
"cg05131526",0.724789480846516
"cg07834396",0.407451775959864
